image,mask
data/bkai-igh-neopolyp/train/image/07907941a8490fd7df8e26031fbb5e52.jpeg,data/bkai-igh-neopolyp/train/target/07907941a8490fd7df8e26031fbb5e52.jpeg
data/bkai-igh-neopolyp/train/image/081835cf877e004e8bfb905b78a91391.jpeg,data/bkai-igh-neopolyp/train/target/081835cf877e004e8bfb905b78a91391.jpeg
data/bkai-igh-neopolyp/train/image/085835c525af63a987f428c953248704.jpeg,data/bkai-igh-neopolyp/train/target/085835c525af63a987f428c953248704.jpeg
data/bkai-igh-neopolyp/train/image/08cc3736e216b08d237285e26c90e179.jpeg,data/bkai-igh-neopolyp/train/target/08cc3736e216b08d237285e26c90e179.jpeg
data/bkai-igh-neopolyp/train/image/08d237285e26c90e1797c77826f9a702.jpeg,data/bkai-igh-neopolyp/train/target/08d237285e26c90e1797c77826f9a702.jpeg
data/bkai-igh-neopolyp/train/image/09384b57bb6a052600f1f93e952886d1.jpeg,data/bkai-igh-neopolyp/train/target/09384b57bb6a052600f1f93e952886d1.jpeg
data/bkai-igh-neopolyp/train/image/09817287a8aef566999467c2a48847ae.jpeg,data/bkai-igh-neopolyp/train/target/09817287a8aef566999467c2a48847ae.jpeg
data/bkai-igh-neopolyp/train/image/099130d98309817287a8aef566999467.jpeg,data/bkai-igh-neopolyp/train/target/099130d98309817287a8aef566999467.jpeg
data/bkai-igh-neopolyp/train/image/09d1dff09b8405734fbeedd0f9da760d.jpeg,data/bkai-igh-neopolyp/train/target/09d1dff09b8405734fbeedd0f9da760d.jpeg
data/bkai-igh-neopolyp/train/image/09df7cd066b37f538abe9de67869ac66.jpeg,data/bkai-igh-neopolyp/train/target/09df7cd066b37f538abe9de67869ac66.jpeg
data/bkai-igh-neopolyp/train/image/0a1230b118fa8625605da2023387fd56.jpeg,data/bkai-igh-neopolyp/train/target/0a1230b118fa8625605da2023387fd56.jpeg
data/bkai-igh-neopolyp/train/image/0a22abd004c33abf3ae2136cd9dd77ae.jpeg,data/bkai-igh-neopolyp/train/target/0a22abd004c33abf3ae2136cd9dd77ae.jpeg
data/bkai-igh-neopolyp/train/image/0a6085835c525af63a987f428c953248.jpeg,data/bkai-igh-neopolyp/train/target/0a6085835c525af63a987f428c953248.jpeg
data/bkai-igh-neopolyp/train/image/0aa5f7804c34a359bbb402345d341253.jpeg,data/bkai-igh-neopolyp/train/target/0aa5f7804c34a359bbb402345d341253.jpeg
data/bkai-igh-neopolyp/train/image/0adabead1ae730831caf386f6e366943.jpeg,data/bkai-igh-neopolyp/train/target/0adabead1ae730831caf386f6e366943.jpeg
data/bkai-igh-neopolyp/train/image/0b1300cb1b387133b51209db6dcdda5c.jpeg,data/bkai-igh-neopolyp/train/target/0b1300cb1b387133b51209db6dcdda5c.jpeg
data/bkai-igh-neopolyp/train/image/0b47aa6b7b1fecb5579bf4a5ced589c4.jpeg,data/bkai-igh-neopolyp/train/target/0b47aa6b7b1fecb5579bf4a5ced589c4.jpeg
data/bkai-igh-neopolyp/train/image/0b9afea6923881bf04350ffd6984cbcc.jpeg,data/bkai-igh-neopolyp/train/target/0b9afea6923881bf04350ffd6984cbcc.jpeg
data/bkai-igh-neopolyp/train/image/0bbd4ce2a1405f7d507592b964b7955a.jpeg,data/bkai-igh-neopolyp/train/target/0bbd4ce2a1405f7d507592b964b7955a.jpeg
data/bkai-igh-neopolyp/train/image/0bd55b1393e2ef89424de1556a26c8eb.jpeg,data/bkai-igh-neopolyp/train/target/0bd55b1393e2ef89424de1556a26c8eb.jpeg
data/bkai-igh-neopolyp/train/image/0bf0b5633059989805234e222e19769f.jpeg,data/bkai-igh-neopolyp/train/target/0bf0b5633059989805234e222e19769f.jpeg
data/bkai-igh-neopolyp/train/image/0bfd2a52829ab4e7568cb49a3c530b99.jpeg,data/bkai-igh-neopolyp/train/target/0bfd2a52829ab4e7568cb49a3c530b99.jpeg
data/bkai-igh-neopolyp/train/image/0c90be319e1d6d19a707a4fdcc58c9c9.jpeg,data/bkai-igh-neopolyp/train/target/0c90be319e1d6d19a707a4fdcc58c9c9.jpeg
data/bkai-igh-neopolyp/train/image/0e1797c77826f9a7021bab9fc7330398.jpeg,data/bkai-igh-neopolyp/train/target/0e1797c77826f9a7021bab9fc7330398.jpeg
data/bkai-igh-neopolyp/train/image/0e3b6d0bf0b5633059989805234e222e.jpeg,data/bkai-igh-neopolyp/train/target/0e3b6d0bf0b5633059989805234e222e.jpeg
data/bkai-igh-neopolyp/train/image/0e85d064f787d4be168d9510588bec07.jpeg,data/bkai-igh-neopolyp/train/target/0e85d064f787d4be168d9510588bec07.jpeg
data/bkai-igh-neopolyp/train/image/0eaf044301ff069910ea2abe3c84417f.jpeg,data/bkai-igh-neopolyp/train/target/0eaf044301ff069910ea2abe3c84417f.jpeg
data/bkai-igh-neopolyp/train/image/0ebce6347c491b37c8c2e5a64a8bd16f.jpeg,data/bkai-igh-neopolyp/train/target/0ebce6347c491b37c8c2e5a64a8bd16f.jpeg
data/bkai-igh-neopolyp/train/image/0f1536ad3f6a5664c1711b62f15ec83b.jpeg,data/bkai-igh-neopolyp/train/target/0f1536ad3f6a5664c1711b62f15ec83b.jpeg
data/bkai-igh-neopolyp/train/image/0f1f93e952886d1697f8af9b550c1bce.jpeg,data/bkai-igh-neopolyp/train/target/0f1f93e952886d1697f8af9b550c1bce.jpeg
data/bkai-igh-neopolyp/train/image/0f618d52893a23c466c16952b6692e6b.jpeg,data/bkai-igh-neopolyp/train/target/0f618d52893a23c466c16952b6692e6b.jpeg
data/bkai-igh-neopolyp/train/image/0fb9af0ef92846b60b1a38a1eecd70eb.jpeg,data/bkai-igh-neopolyp/train/target/0fb9af0ef92846b60b1a38a1eecd70eb.jpeg
data/bkai-igh-neopolyp/train/image/10a38713b2aa6ce8d1cf6644589e532a.jpeg,data/bkai-igh-neopolyp/train/target/10a38713b2aa6ce8d1cf6644589e532a.jpeg
data/bkai-igh-neopolyp/train/image/10b1fcf0625f608b4ce97629ab559b28.jpeg,data/bkai-igh-neopolyp/train/target/10b1fcf0625f608b4ce97629ab559b28.jpeg
data/bkai-igh-neopolyp/train/image/117c6599c6dc55c83a46ce2be9800e6c.jpeg,data/bkai-igh-neopolyp/train/target/117c6599c6dc55c83a46ce2be9800e6c.jpeg
data/bkai-igh-neopolyp/train/image/11c4aa179344271fa54aa1b27918630b.jpeg,data/bkai-igh-neopolyp/train/target/11c4aa179344271fa54aa1b27918630b.jpeg
data/bkai-igh-neopolyp/train/image/11f025ba0e3b6d0bf0b5633059989805.jpeg,data/bkai-igh-neopolyp/train/target/11f025ba0e3b6d0bf0b5633059989805.jpeg
data/bkai-igh-neopolyp/train/image/12295dd542315b4c10e2b0e33fa12bfc.jpeg,data/bkai-igh-neopolyp/train/target/12295dd542315b4c10e2b0e33fa12bfc.jpeg
data/bkai-igh-neopolyp/train/image/124dbc13ca0eaf044301ff069910ea2a.jpeg,data/bkai-igh-neopolyp/train/target/124dbc13ca0eaf044301ff069910ea2a.jpeg
data/bkai-igh-neopolyp/train/image/1276e3f404b79b6669075945dc8ec8f0.jpeg,data/bkai-igh-neopolyp/train/target/1276e3f404b79b6669075945dc8ec8f0.jpeg
data/bkai-igh-neopolyp/train/image/130a76ba2ea3ad774c0444718528404f.jpeg,data/bkai-igh-neopolyp/train/target/130a76ba2ea3ad774c0444718528404f.jpeg
data/bkai-igh-neopolyp/train/image/13ccf1f4b331a412fc44655fb51f809d.jpeg,data/bkai-igh-neopolyp/train/target/13ccf1f4b331a412fc44655fb51f809d.jpeg
data/bkai-igh-neopolyp/train/image/145a7d8d3b6c0ed754f28ca745212295.jpeg,data/bkai-igh-neopolyp/train/target/145a7d8d3b6c0ed754f28ca745212295.jpeg
data/bkai-igh-neopolyp/train/image/149398b798da48d679d7c7c8d3d96fb2.jpeg,data/bkai-igh-neopolyp/train/target/149398b798da48d679d7c7c8d3d96fb2.jpeg
data/bkai-igh-neopolyp/train/image/14fc58bdb26679bff55177a34fc01019.jpeg,data/bkai-igh-neopolyp/train/target/14fc58bdb26679bff55177a34fc01019.jpeg
data/bkai-igh-neopolyp/train/image/152b672ab3492fc6239c86a73f97dd52.jpeg,data/bkai-igh-neopolyp/train/target/152b672ab3492fc6239c86a73f97dd52.jpeg
data/bkai-igh-neopolyp/train/image/15334875343f27ebc5d92b9076135d76.jpeg,data/bkai-igh-neopolyp/train/target/15334875343f27ebc5d92b9076135d76.jpeg
data/bkai-igh-neopolyp/train/image/1573af7f31f04dc06992d92472facb34.jpeg,data/bkai-igh-neopolyp/train/target/1573af7f31f04dc06992d92472facb34.jpeg
data/bkai-igh-neopolyp/train/image/15a51625559c7e610b1531871f2fd85a.jpeg,data/bkai-igh-neopolyp/train/target/15a51625559c7e610b1531871f2fd85a.jpeg
data/bkai-igh-neopolyp/train/image/15c88d81a4106de1bdb8f4c31cfc1c9d.jpeg,data/bkai-igh-neopolyp/train/target/15c88d81a4106de1bdb8f4c31cfc1c9d.jpeg
data/bkai-igh-neopolyp/train/image/163a745959c03983064a3eb4d49033c0.jpeg,data/bkai-igh-neopolyp/train/target/163a745959c03983064a3eb4d49033c0.jpeg
data/bkai-igh-neopolyp/train/image/16d06046f5d8dd18841d318d1f625619.jpeg,data/bkai-igh-neopolyp/train/target/16d06046f5d8dd18841d318d1f625619.jpeg
data/bkai-igh-neopolyp/train/image/16d4ca6160127cd1d5ff99c267599fc4.jpeg,data/bkai-igh-neopolyp/train/target/16d4ca6160127cd1d5ff99c267599fc4.jpeg
data/bkai-igh-neopolyp/train/image/17287a8aef566999467c2a48847ae839.jpeg,data/bkai-igh-neopolyp/train/target/17287a8aef566999467c2a48847ae839.jpeg
data/bkai-igh-neopolyp/train/image/1743c6c08a1d1ad8f2c5f72724e00d82.jpeg,data/bkai-igh-neopolyp/train/target/1743c6c08a1d1ad8f2c5f72724e00d82.jpeg
data/bkai-igh-neopolyp/train/image/177a34fc01019eec999fd84e679b05f9.jpeg,data/bkai-igh-neopolyp/train/target/177a34fc01019eec999fd84e679b05f9.jpeg
data/bkai-igh-neopolyp/train/image/17ba487d4878a9bf8a6f4d4987ea3b4b.jpeg,data/bkai-igh-neopolyp/train/target/17ba487d4878a9bf8a6f4d4987ea3b4b.jpeg
data/bkai-igh-neopolyp/train/image/17f87cf12b41e5e9e5040781d54ffd6a.jpeg,data/bkai-igh-neopolyp/train/target/17f87cf12b41e5e9e5040781d54ffd6a.jpeg
data/bkai-igh-neopolyp/train/image/18d52893a23c466c16952b6692e6be5e.jpeg,data/bkai-igh-neopolyp/train/target/18d52893a23c466c16952b6692e6be5e.jpeg
data/bkai-igh-neopolyp/train/image/18d5401f659532897255ce2dd4ae1b0f.jpeg,data/bkai-igh-neopolyp/train/target/18d5401f659532897255ce2dd4ae1b0f.jpeg
data/bkai-igh-neopolyp/train/image/18fa8625605da2023387fd56c04414ea.jpeg,data/bkai-igh-neopolyp/train/target/18fa8625605da2023387fd56c04414ea.jpeg
data/bkai-igh-neopolyp/train/image/193ac8d551c149b60f2965341caf528c.jpeg,data/bkai-igh-neopolyp/train/target/193ac8d551c149b60f2965341caf528c.jpeg
data/bkai-igh-neopolyp/train/image/19410b1fcf0625f608b4ce97629ab559.jpeg,data/bkai-igh-neopolyp/train/target/19410b1fcf0625f608b4ce97629ab559.jpeg
data/bkai-igh-neopolyp/train/image/195f853af7f8a4df1ec859759b7c8743.jpeg,data/bkai-igh-neopolyp/train/target/195f853af7f8a4df1ec859759b7c8743.jpeg
data/bkai-igh-neopolyp/train/image/19d9ae2a9833aa6b8232510939c091a7.jpeg,data/bkai-igh-neopolyp/train/target/19d9ae2a9833aa6b8232510939c091a7.jpeg
data/bkai-igh-neopolyp/train/image/1a65d2b46d0a6085835c525af63a987f.jpeg,data/bkai-igh-neopolyp/train/target/1a65d2b46d0a6085835c525af63a987f.jpeg
data/bkai-igh-neopolyp/train/image/1b248d152b672ab3492fc6239c86a73f.jpeg,data/bkai-igh-neopolyp/train/target/1b248d152b672ab3492fc6239c86a73f.jpeg
data/bkai-igh-neopolyp/train/image/1b9298e11bb07c70f3701ae6bcec5dd8.jpeg,data/bkai-igh-neopolyp/train/target/1b9298e11bb07c70f3701ae6bcec5dd8.jpeg
data/bkai-igh-neopolyp/train/image/1b976b7a7efc10b1300cb1b387133b51.jpeg,data/bkai-igh-neopolyp/train/target/1b976b7a7efc10b1300cb1b387133b51.jpeg
data/bkai-igh-neopolyp/train/image/1c149b60f2965341caf528ca0adabead.jpeg,data/bkai-igh-neopolyp/train/target/1c149b60f2965341caf528ca0adabead.jpeg
data/bkai-igh-neopolyp/train/image/1c4aa179344271fa54aa1b27918630bf.jpeg,data/bkai-igh-neopolyp/train/target/1c4aa179344271fa54aa1b27918630bf.jpeg
data/bkai-igh-neopolyp/train/image/1c74143555dbf9c4ebafbd9871ca68e0.jpeg,data/bkai-igh-neopolyp/train/target/1c74143555dbf9c4ebafbd9871ca68e0.jpeg
data/bkai-igh-neopolyp/train/image/1caf528ca0adabead1ae730831caf386.jpeg,data/bkai-igh-neopolyp/train/target/1caf528ca0adabead1ae730831caf386.jpeg
data/bkai-igh-neopolyp/train/image/1cfc1c9d33f3a7b24423d5c7edd71817.jpeg,data/bkai-igh-neopolyp/train/target/1cfc1c9d33f3a7b24423d5c7edd71817.jpeg
data/bkai-igh-neopolyp/train/image/1d4dc3ddad260bfcb4443de3ef69f6db.jpeg,data/bkai-igh-neopolyp/train/target/1d4dc3ddad260bfcb4443de3ef69f6db.jpeg
data/bkai-igh-neopolyp/train/image/1d54ffd6a8ee924dbd70f618d52893a2.jpeg,data/bkai-igh-neopolyp/train/target/1d54ffd6a8ee924dbd70f618d52893a2.jpeg
data/bkai-igh-neopolyp/train/image/1db40939d9a2f94285ef2a23f9dbbb7b.jpeg,data/bkai-igh-neopolyp/train/target/1db40939d9a2f94285ef2a23f9dbbb7b.jpeg
data/bkai-igh-neopolyp/train/image/1e555525d4f09ce7270bfec57e441680.jpeg,data/bkai-igh-neopolyp/train/target/1e555525d4f09ce7270bfec57e441680.jpeg
data/bkai-igh-neopolyp/train/image/1efbafa0940efd09e941bb189a5dbc20.jpeg,data/bkai-igh-neopolyp/train/target/1efbafa0940efd09e941bb189a5dbc20.jpeg
data/bkai-igh-neopolyp/train/image/1f3cf29dff2864e2d89df283ecd59f91.jpeg,data/bkai-igh-neopolyp/train/target/1f3cf29dff2864e2d89df283ecd59f91.jpeg
data/bkai-igh-neopolyp/train/image/1f625619d9ae2a9833aa6b8232510939.jpeg,data/bkai-igh-neopolyp/train/target/1f625619d9ae2a9833aa6b8232510939.jpeg
data/bkai-igh-neopolyp/train/image/1f659532897255ce2dd4ae1b0f124dbc.jpeg,data/bkai-igh-neopolyp/train/target/1f659532897255ce2dd4ae1b0f124dbc.jpeg
data/bkai-igh-neopolyp/train/image/1fcf0625f608b4ce97629ab559b28f39.jpeg,data/bkai-igh-neopolyp/train/target/1fcf0625f608b4ce97629ab559b28f39.jpeg
data/bkai-igh-neopolyp/train/image/1fd8bbf118acd7936140a2d5fc1443c4.jpeg,data/bkai-igh-neopolyp/train/target/1fd8bbf118acd7936140a2d5fc1443c4.jpeg
data/bkai-igh-neopolyp/train/image/1ff069910ea2abe3c84417fda8019410.jpeg,data/bkai-igh-neopolyp/train/target/1ff069910ea2abe3c84417fda8019410.jpeg
data/bkai-igh-neopolyp/train/image/1ffb963e1713a8763b8318ecf467d7ad.jpeg,data/bkai-igh-neopolyp/train/target/1ffb963e1713a8763b8318ecf467d7ad.jpeg
data/bkai-igh-neopolyp/train/image/20362736055807907941a8490fd7df8e.jpeg,data/bkai-igh-neopolyp/train/target/20362736055807907941a8490fd7df8e.jpeg
data/bkai-igh-neopolyp/train/image/21fbbec5a215f0f235a823d5349ab65a.jpeg,data/bkai-igh-neopolyp/train/target/21fbbec5a215f0f235a823d5349ab65a.jpeg
data/bkai-igh-neopolyp/train/image/222e19769fa2d37d32780fd497e1c0e9.jpeg,data/bkai-igh-neopolyp/train/target/222e19769fa2d37d32780fd497e1c0e9.jpeg
data/bkai-igh-neopolyp/train/image/225024da63fb9a76b92633408da4bcab.jpeg,data/bkai-igh-neopolyp/train/target/225024da63fb9a76b92633408da4bcab.jpeg
data/bkai-igh-neopolyp/train/image/229db65646d81526eb91e2da9e6afaef.jpeg,data/bkai-igh-neopolyp/train/target/229db65646d81526eb91e2da9e6afaef.jpeg
data/bkai-igh-neopolyp/train/image/229fe1bce59ddf92e76900d229db6564.jpeg,data/bkai-igh-neopolyp/train/target/229fe1bce59ddf92e76900d229db6564.jpeg
data/bkai-igh-neopolyp/train/image/22af6b2da43f71d4dc3ddad260bfcb44.jpeg,data/bkai-igh-neopolyp/train/target/22af6b2da43f71d4dc3ddad260bfcb44.jpeg
data/bkai-igh-neopolyp/train/image/23099dd2eedba39099848c4425bf33b9.jpeg,data/bkai-igh-neopolyp/train/target/23099dd2eedba39099848c4425bf33b9.jpeg
data/bkai-igh-neopolyp/train/image/230b118fa8625605da2023387fd56c04.jpeg,data/bkai-igh-neopolyp/train/target/230b118fa8625605da2023387fd56c04.jpeg
data/bkai-igh-neopolyp/train/image/2315b4c10e2b0e33fa12bfcd6da15fc6.jpeg,data/bkai-igh-neopolyp/train/target/2315b4c10e2b0e33fa12bfcd6da15fc6.jpeg
data/bkai-igh-neopolyp/train/image/23387fd56c04414eaa922bca73d5379c.jpeg,data/bkai-igh-neopolyp/train/target/23387fd56c04414eaa922bca73d5379c.jpeg
data/bkai-igh-neopolyp/train/image/2345d341253851bc866ebe4d18d5401f.jpeg,data/bkai-igh-neopolyp/train/target/2345d341253851bc866ebe4d18d5401f.jpeg
data/bkai-igh-neopolyp/train/image/234e222e19769fa2d37d32780fd497e1.jpeg,data/bkai-igh-neopolyp/train/target/234e222e19769fa2d37d32780fd497e1.jpeg
data/bkai-igh-neopolyp/train/image/23c4eaf3372eae567c94ea04c603f909.jpeg,data/bkai-igh-neopolyp/train/target/23c4eaf3372eae567c94ea04c603f909.jpeg
data/bkai-igh-neopolyp/train/image/24423d5c7edd718176ef3065837ced5c.jpeg,data/bkai-igh-neopolyp/train/target/24423d5c7edd718176ef3065837ced5c.jpeg
data/bkai-igh-neopolyp/train/image/24dbc13ca0eaf044301ff069910ea2ab.jpeg,data/bkai-igh-neopolyp/train/target/24dbc13ca0eaf044301ff069910ea2ab.jpeg
data/bkai-igh-neopolyp/train/image/24dbd70f618d52893a23c466c16952b6.jpeg,data/bkai-igh-neopolyp/train/target/24dbd70f618d52893a23c466c16952b6.jpeg
data/bkai-igh-neopolyp/train/image/24e00d827b8bcf15050fb9af0ef92846.jpeg,data/bkai-igh-neopolyp/train/target/24e00d827b8bcf15050fb9af0ef92846.jpeg
data/bkai-igh-neopolyp/train/image/2510939c091a7915c942b2f94722af7f.jpeg,data/bkai-igh-neopolyp/train/target/2510939c091a7915c942b2f94722af7f.jpeg
data/bkai-igh-neopolyp/train/image/251eedf26ed414a42bec7a5fdbaf2760.jpeg,data/bkai-igh-neopolyp/train/target/251eedf26ed414a42bec7a5fdbaf2760.jpeg
data/bkai-igh-neopolyp/train/image/253851bc866ebe4d18d5401f65953289.jpeg,data/bkai-igh-neopolyp/train/target/253851bc866ebe4d18d5401f65953289.jpeg
data/bkai-igh-neopolyp/train/image/255ce2dd4ae1b0f124dbc13ca0eaf044.jpeg,data/bkai-igh-neopolyp/train/target/255ce2dd4ae1b0f124dbc13ca0eaf044.jpeg
data/bkai-igh-neopolyp/train/image/25605da2023387fd56c04414eaa922bc.jpeg,data/bkai-igh-neopolyp/train/target/25605da2023387fd56c04414eaa922bc.jpeg
data/bkai-igh-neopolyp/train/image/25af63a987f428c953248704ccdc265a.jpeg,data/bkai-igh-neopolyp/train/target/25af63a987f428c953248704ccdc265a.jpeg
data/bkai-igh-neopolyp/train/image/26231002ec4a1fe748f3085f1ce88cbd.jpeg,data/bkai-igh-neopolyp/train/target/26231002ec4a1fe748f3085f1ce88cbd.jpeg
data/bkai-igh-neopolyp/train/image/269959350e7998934d417cb2eb1ef57a.jpeg,data/bkai-igh-neopolyp/train/target/269959350e7998934d417cb2eb1ef57a.jpeg
data/bkai-igh-neopolyp/train/image/26a6f23c5d6d5f35f66adf95b204727f.jpeg,data/bkai-igh-neopolyp/train/target/26a6f23c5d6d5f35f66adf95b204727f.jpeg
data/bkai-igh-neopolyp/train/image/26f9a7021bab9fc7330398846f67b5df.jpeg,data/bkai-igh-neopolyp/train/target/26f9a7021bab9fc7330398846f67b5df.jpeg
data/bkai-igh-neopolyp/train/image/276a476420655433a925101416ae101f.jpeg,data/bkai-igh-neopolyp/train/target/276a476420655433a925101416ae101f.jpeg
data/bkai-igh-neopolyp/train/image/276e3f404b79b6669075945dc8ec8f02.jpeg,data/bkai-igh-neopolyp/train/target/276e3f404b79b6669075945dc8ec8f02.jpeg
data/bkai-igh-neopolyp/train/image/2780fd497e1c0e9082ea2c193ac8d551.jpeg,data/bkai-igh-neopolyp/train/target/2780fd497e1c0e9082ea2c193ac8d551.jpeg
data/bkai-igh-neopolyp/train/image/2829ab4e7568cb49a3c530b99ec16e8b.jpeg,data/bkai-igh-neopolyp/train/target/2829ab4e7568cb49a3c530b99ec16e8b.jpeg
